Estado,Partido,MR,RP,Legislatura,year
Coahuila,PRD,,,LVIII,2009
Coahuila,PRI,20,,LVIII,2009
Coahuila,UDC,,,LVIII,2009
Coahuila,PAN,,,LIX,2012
Coahuila,PNA,1,,LIX,2012
Coahuila,PPC,1,,LIX,2012
Coahuila,PRI,13,,LIX,2012
Coahuila,PSD,,,LIX,2012
Coahuila,PVEM,1,,LIX,2012
Coahuila,UDC,,,LIX,2012
Coahuila,PRI,16,,LX,2015
Coahuila,PAN,,,LX,2015
Coahuila,PNA,,,LX,2015
Coahuila,PVEM,,,LX,2015
Coahuila,PSI,,,LX,2015
Coahuila,UDC,,,LX,2015
Coahuila,PPC,,,LX,2015
Coahuila,PRI,7,,LXI,2018
Coahuila,PAN,6,,LXI,2018
Coahuila,UDC,3,,LXI,2018
Coahuila,Morena,,,LXI,2018
Coahuila,PRD,,,LXI,2018
Colima,PRI,7,,XLIV,1973
Colima,PRI,7,,XLV,1976
Colima,PRI,7,,XLVI,1979
Colima,PAN,,,XLVI,1979
Colima,PPS,,,XLVI,1979
Colima,PRI,7,,XLVII,1982
Colima,PAN,,,XLVII,1982
Colima,PST,,,XLVII,1982
Colima,PRI,10,,XLVIII,1985
Colima,PAN,,,XLVIII,1985
Colima,PST,,,XLVIII,1985
Colima,PPS,,,XLVIII,1985
Colima,PRI,10,,XLIX,1988
Colima,PAN,,,XLIX,1988
Colima,PPS,,,XLIX,1988
Colima,PFCRN,,,XLIX,1988
Colima,PMS,,,XLIX,1988
Colima,PRI,12,,L,1991
Colima,PAN,,,L,1991
Colima,PDM,,,L,1991
Colima,PFCRN,,,L,1991
Colima,PRD,,,L,1991
Colima,PRI,11,,LI,1994
Colima,PAN,1,,LI,1994
Colima,PFCRN,,,LI,1994
Colima,PRD,,,LI,1994
Colima,PRI,8,,LII,1997
Colima,PAN,4,,LII,1997
Colima,PRD,,,LII,1997
Colima,PRI,12,,LIII,2000
Colima,PAN,4,,LIII,2000
Colima,PRD,,,LIII,2000
Colima,PT,,,LIII,2000
Colima,ADC,,,LIV,2003
Colima,PAN,5,,LIV,2003
Colima,PRD,,,LIV,2003
Colima,PRI,11,,LIV,2003
Colima,PAN,7,,LV,2006
Colima,PRD,,,LV,2006
Colima,PRI,8,,LV,2006
Colima,PVEM,1,,LV,2006
Colima,PAN,8,,LVI,2009
Colima,PNA,6,,LVI,2009
Colima,PRI,18,,LVI,2009
Colima,PT,,,LVI,2009
Colima,PRI,7,,LVII,2012
Colima,PAN,6,,LVII,2012
Colima,PNA,2,,LVII,2012
Colima,PRD,1,,LVII,2012
Colima,PVEM,,,LVII,2012
Colima,PT,,,LVII,2012
Colima,MC,,,LVIII,2015
Colima,PAN,10,,LVIII,2015
Colima,PNA,,,LVIII,2015
Colima,PRI,6,,LVIII,2015
Colima,PT,,,LVIII,2015
Colima,PVEM,,,LVIII,2015
Colima,Morena,8,,LIX,2018
Colima,PT,4,,LIX,2018
Colima,PRI,,,LIX,2018
Colima,PAN,1,,LIX,2018
Colima,PVEM,2,,LIX,2018
Colima,PNA,,,LIX,2018
Colima,MC,,,LIX,2018
Colima,IND,1,,LIX,2018
DF,PRI,24,,I,1988
DF,PAN,13,,I,1988
DF,PPS,,,I,1988
DF,PARM,,,I,1988
DF,PFCRN,3,,I,1988
DF,PMS,,,I,1988
DF,PRI,40,,II,1991
DF,PAN,,,II,1991
DF,PPS,,,II,1991
DF,PARM,,,II,1991
DF,PFCRN,,,II,1991
DF,PRD,,,II,1991
DF,PRI,38,,III,1994
DF,PAN,2,,III,1994
DF,PRD,,,III,1994
DF,PT,,,III,1994
DF,PVEM,,,III,1994
DF,PRI,,,I,1997
DF,PAN,2,,I,1997
DF,PFCRN,,,I,1997
